Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0906ST,`33,`000,State - TAMIL NADU,Total,Total,66695,32578,34117,12153,5414,6739,6765,3551,3214,47551,21341,26210,5952,3448,2504,418,230,188,1868,688,1180,2940,1722,1218,158,86,72,4330,2592,1738,2,2,0,1198,694,504,492,476,16,212,148,64,2,2,0,64,40,24,130,100,30,358,248,110,278,128,150,978,226,752,5152,2270,2882
B0906ST,`33,`000,State - TAMIL NADU,Total,`5-14,2637,1345,1292,356,184,172,223,120,103,1212,601,611,134,76,58,4,2,2,46,18,28,70,34,36,14,8,6,40,24,16,0,0,0,28,24,4,2,2,0,8,6,2,0,0,0,2,2,0,2,2,0,2,2,0,14,6,8,36,16,20,1156,586,570
B0906ST,`33,`000,State - TAMIL NADU,Total,15-34,31370,15374,15996,5714,2511,3203,3068,1531,1537,21540,9554,11986,2674,1512,1162,238,124,114,922,318,604,1670,968,702,78,50,28,2240,1432,808,0,0,0,604,376,228,352,344,8,102,78,24,2,2,0,50,32,18,68,56,12,168,122,46,198,94,104,508,114,394,2602,1178,1424
B0906ST,`33,`000,State - TAMIL NADU,Total,35-59,27418,12976,14442,4757,2072,2685,2849,1511,1338,20496,8965,11531,2652,1564,1088,152,88,64,738,276,462,1040,606,434,54,18,36,1802,1004,798,2,2,0,478,252,226,134,128,6,88,54,34,0,0,0,12,6,6,54,36,18,150,98,52,60,24,36,356,68,288,1058,348,710
B0906ST,`33,`000,State - TAMIL NADU,Total,60+,5219,2865,2354,1320,647,673,624,389,235,4281,2213,2068,490,296,194,24,16,8,158,74,84,156,114,42,12,10,2,242,130,112,0,0,0,88,42,46,4,2,2,14,10,4,0,0,0,0,0,0,6,6,0,38,26,12,6,4,2,78,28,50,318,152,166
B0906ST,`33,`000,State - TAMIL NADU,Total,Age not stated,51,18,33,6,0,6,1,0,1,22,8,14,2,0,2,0,0,0,4,2,2,4,0,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,12
B0906ST,`33,`000,State - TAMIL NADU,Rural,Total,59105,28342,30763,10306,4536,5770,6639,3497,3142,44750,19879,24871,4724,2706,2018,396,216,180,1580,592,988,2262,1312,950,56,22,34,3352,1920,1432,2,2,0,674,384,290,282,274,8,84,68,16,2,2,0,24,20,4,40,30,10,168,106,62,200,88,112,780,204,576,3396,1556,1840
B0906ST,`33,`000,State - TAMIL NADU,Rural,`5-14,2251,1147,1104,334,173,161,214,115,99,1163,571,592,122,70,52,4,2,2,42,16,26,62,30,32,2,0,2,36,22,14,0,0,0,16,14,2,0,0,0,6,6,0,0,0,0,0,0,0,2,2,0,2,2,0,14,6,8,32,14,18,868,450,418
B0906ST,`33,`000,State - TAMIL NADU,Rural,15-34,27755,13306,14449,4817,2085,2732,3004,1505,1499,20322,8928,11394,2084,1146,938,230,120,110,804,276,528,1306,754,552,26,12,14,1802,1130,672,0,0,0,350,210,140,222,216,6,36,32,4,2,2,0,22,18,4,26,22,4,82,56,26,144,66,78,404,106,298,1706,792,914
B0906ST,`33,`000,State - TAMIL NADU,Rural,35-59,24371,11335,13036,3995,1734,2261,2803,1491,1312,19203,8306,10897,2106,1246,860,138,78,60,606,238,368,790,458,332,26,8,18,1324,676,648,2,2,0,260,142,118,58,58,0,34,24,10,0,0,0,2,2,0,10,4,6,64,38,26,38,14,24,276,58,218,626,226,400
B0906ST,`33,`000,State - TAMIL NADU,Rural,60+,4687,2539,2148,1154,544,610,617,386,231,4042,2067,1975,410,244,166,24,16,8,124,60,64,100,70,30,2,2,0,184,90,94,0,0,0,48,18,30,2,0,2,8,6,2,0,0,0,0,0,0,2,2,0,20,10,10,4,2,2,68,26,42,186,84,102
B0906ST,`33,`000,State - TAMIL NADU,Rural,Age not stated,41,15,26,6,0,6,1,0,1,20,7,13,2,0,2,0,0,0,4,2,2,4,0,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6
B0906ST,`33,`000,State - TAMIL NADU,Urban,Total,7590,4236,3354,1847,878,969,126,54,72,2801,1462,1339,1228,742,486,22,14,8,288,96,192,678,410,268,102,64,38,978,672,306,0,0,0,524,310,214,210,202,8,128,80,48,0,0,0,40,20,20,90,70,20,190,142,48,78,40,38,198,22,176,1756,714,1042
B0906ST,`33,`000,State - TAMIL NADU,Urban,`5-14,386,198,188,22,11,11,9,5,4,49,30,19,12,6,6,0,0,0,4,2,2,8,4,4,12,8,4,4,2,2,0,0,0,12,10,2,2,2,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,288,136,152
B0906ST,`33,`000,State - TAMIL NADU,Urban,15-34,3615,2068,1547,897,426,471,64,26,38,1218,626,592,590,366,224,8,4,4,118,42,76,364,214,150,52,38,14,438,302,136,0,0,0,254,166,88,130,128,2,66,46,20,0,0,0,28,14,14,42,34,8,86,66,20,54,28,26,104,8,96,896,386,510
B0906ST,`33,`000,State - TAMIL NADU,Urban,35-59,3047,1641,1406,762,338,424,46,20,26,1293,659,634,546,318,228,14,10,4,132,38,94,250,148,102,28,10,18,478,328,150,0,0,0,218,110,108,76,70,6,54,30,24,0,0,0,10,4,6,44,32,12,86,60,26,22,10,12,80,10,70,432,122,310
B0906ST,`33,`000,State - TAMIL NADU,Urban,60+,532,326,206,166,103,63,7,3,4,239,146,93,80,52,28,0,0,0,34,14,20,56,44,12,10,8,2,58,40,18,0,0,0,40,24,16,2,2,0,6,4,2,0,0,0,0,0,0,4,4,0,18,16,2,2,2,0,10,2,8,132,68,64
B0906ST,`33,`000,State - TAMIL NADU,Urban,Age not stated,10,3,7,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6
B0906ST,`33,`602,District - Thiruvallur,Total,Total,5408,2845,2563,1366,647,719,170,89,81,3868,1849,2019,600,400,200,6,4,2,136,52,84,460,270,190,30,22,8,638,378,260,0,0,0,146,74,72,36,34,2,14,10,4,0,0,0,8,6,2,16,14,2,52,32,20,24,12,12,102,34,68,468,212,256
B0906ST,`33,`602,District - Thiruvallur,Total,`5-14,230,125,105,41,21,20,24,13,11,87,45,42,14,8,6,0,0,0,2,2,0,12,4,8,6,6,0,8,2,6,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,110,58,52
B0906ST,`33,`602,District - Thiruvallur,Total,15-34,2538,1340,1198,636,284,352,64,29,35,1722,797,925,256,162,94,2,2,0,66,24,42,292,176,116,16,12,4,328,192,136,0,0,0,70,42,28,26,24,2,6,6,0,0,0,0,8,6,2,8,6,2,32,18,14,18,8,10,48,14,34,212,106,106
B0906ST,`33,`602,District - Thiruvallur,Total,35-59,2270,1166,1104,556,263,293,67,35,32,1743,828,915,280,192,88,4,2,2,56,20,36,136,76,60,6,4,2,270,166,104,0,0,0,64,24,40,10,10,0,4,2,2,0,0,0,0,0,0,8,8,0,16,10,6,6,4,2,42,12,30,114,36,78
B0906ST,`33,`602,District - Thiruvallur,Total,60+,365,214,151,131,79,52,15,12,3,315,179,136,48,38,10,0,0,0,12,6,6,20,14,6,2,0,2,32,18,14,0,0,0,8,4,4,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,4,4,28,12,16
B0906ST,`33,`602,District - Thiruvallur,Total,Age not stated,5,0,5,2,0,2,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
B0906ST,`33,`602,District - Thiruvallur,Rural,Total,4532,2344,2188,1226,565,661,165,88,77,3629,1719,1910,428,296,132,4,2,2,96,36,60,366,214,152,0,0,0,508,278,230,0,0,0,112,46,66,18,16,2,6,6,0,0,0,0,0,0,0,0,0,0,28,18,10,20,12,8,60,20,40,318,158,160
B0906ST,`33,`602,District - Thiruvallur,Rural,`5-14,189,97,92,39,19,20,22,12,10,76,38,38,10,6,4,0,0,0,0,0,0,12,4,8,0,0,0,8,2,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,96,50,46
B0906ST,`33,`602,District - Thiruvallur,Rural,15-34,2103,1099,1004,571,247,324,62,29,33,1614,741,873,182,120,62,2,2,0,48,16,32,226,138,88,0,0,0,278,156,122,0,0,0,54,28,26,14,12,2,6,6,0,0,0,0,0,0,0,0,0,0,16,10,6,16,8,8,28,10,18,128,70,58
B0906ST,`33,`602,District - Thiruvallur,Rural,35-59,1917,959,958,497,229,268,66,35,31,1642,775,867,196,140,56,2,0,2,38,16,22,110,60,50,0,0,0,194,104,90,0,0,0,48,12,36,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,4,4,0,28,6,22,74,28,46
B0906ST,`33,`602,District - Thiruvallur,Rural,60+,322,189,133,117,70,47,15,12,3,296,165,131,38,30,8,0,0,0,10,4,6,18,12,6,0,0,0,28,16,12,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,2,0,20,10,10
B0906ST,`33,`602,District - Thiruvallur,Rural,Age not stated,1,0,1,2,0,2,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`602,District - Thiruvallur,Urban,Total,876,501,375,140,82,58,5,1,4,239,130,109,172,104,68,2,2,0,40,16,24,94,56,38,30,22,8,130,100,30,0,0,0,34,28,6,18,18,0,8,4,4,0,0,0,8,6,2,16,14,2,24,14,10,4,0,4,42,14,28,150,54,96
B0906ST,`33,`602,District - Thiruvallur,Urban,`5-14,41,28,13,2,2,0,2,1,1,11,7,4,4,2,2,0,0,0,2,2,0,0,0,0,6,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,14,8,6
B0906ST,`33,`602,District - Thiruvallur,Urban,15-34,435,241,194,65,37,28,2,0,2,108,56,52,74,42,32,0,0,0,18,8,10,66,38,28,16,12,4,50,36,14,0,0,0,16,14,2,12,12,0,0,0,0,0,0,0,8,6,2,8,6,2,16,8,8,2,0,2,20,4,16,84,36,48
B0906ST,`33,`602,District - Thiruvallur,Urban,35-59,353,207,146,59,34,25,1,0,1,101,53,48,84,52,32,2,2,0,18,4,14,26,16,10,6,4,2,76,62,14,0,0,0,16,12,4,6,6,0,4,2,2,0,0,0,0,0,0,8,8,0,8,6,2,2,0,2,14,6,8,40,8,32
B0906ST,`33,`602,District - Thiruvallur,Urban,60+,43,25,18,14,9,5,0,0,0,19,14,5,10,8,2,0,0,0,2,2,0,2,2,0,2,0,2,4,2,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,8,2,6
B0906ST,`33,`602,District - Thiruvallur,Urban,Age not stated,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
B0906ST,`33,`603,District - Chennai,Total,Total,689,403,286,66,38,28,13,3,10,20,6,14,0,0,0,0,0,0,10,6,4,32,24,8,0,0,0,76,66,10,0,0,0,124,70,54,76,74,2,4,2,2,0,0,0,8,2,6,22,14,8,50,42,8,12,6,6,8,0,8,300,126,174
B0906ST,`33,`603,District - Chennai,Total,`5-14,70,36,34,2,0,2,3,2,1,3,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,62,32,30
B0906ST,`33,`603,District - Chennai,Total,15-34,311,189,122,37,22,15,8,1,7,8,4,4,0,0,0,0,0,0,2,0,2,12,6,6,0,0,0,34,30,4,0,0,0,52,36,16,36,36,0,0,0,0,0,0,0,6,2,4,8,4,4,26,22,4,6,2,4,4,0,4,146,68,78
B0906ST,`33,`603,District - Chennai,Total,35-59,264,151,113,27,16,11,2,0,2,7,1,6,0,0,0,0,0,0,8,6,2,18,16,2,0,0,0,38,32,6,0,0,0,66,30,36,38,36,2,4,2,2,0,0,0,2,0,2,14,10,4,20,16,4,6,4,2,2,0,2,66,14,52
B0906ST,`33,`603,District - Chennai,Total,60+,44,27,17,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,26,12,14
B0906ST,`33,`603,District - Chennai,Total,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`603,District - Chennai,Rural,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`603,District - Chennai,Rural,`5-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`603,District - Chennai,Rural,15-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`603,District - Chennai,Rural,35-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`603,District - Chennai,Rural,60+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`603,District - Chennai,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`603,District - Chennai,Urban,Total,689,403,286,66,38,28,13,3,10,20,6,14,0,0,0,0,0,0,10,6,4,32,24,8,0,0,0,76,66,10,0,0,0,124,70,54,76,74,2,4,2,2,0,0,0,8,2,6,22,14,8,50,42,8,12,6,6,8,0,8,300,126,174
B0906ST,`33,`603,District - Chennai,Urban,`5-14,70,36,34,2,0,2,3,2,1,3,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,62,32,30
B0906ST,`33,`603,District - Chennai,Urban,15-34,311,189,122,37,22,15,8,1,7,8,4,4,0,0,0,0,0,0,2,0,2,12,6,6,0,0,0,34,30,4,0,0,0,52,36,16,36,36,0,0,0,0,0,0,0,6,2,4,8,4,4,26,22,4,6,2,4,4,0,4,146,68,78
B0906ST,`33,`603,District - Chennai,Urban,35-59,264,151,113,27,16,11,2,0,2,7,1,6,0,0,0,0,0,0,8,6,2,18,16,2,0,0,0,38,32,6,0,0,0,66,30,36,38,36,2,4,2,2,0,0,0,2,0,2,14,10,4,20,16,4,6,4,2,2,0,2,66,14,52
B0906ST,`33,`603,District - Chennai,Urban,60+,44,27,17,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,26,12,14
B0906ST,`33,`603,District - Chennai,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`604,District - Kancheepuram,Total,Total,4935,2559,2376,998,507,491,109,51,58,2902,1399,1503,764,510,254,62,36,26,208,118,90,410,256,154,12,10,2,512,290,222,0,0,0,172,98,74,48,46,2,30,14,16,0,0,0,4,2,2,10,6,4,66,50,16,22,10,12,62,8,54,540,162,378
B0906ST,`33,`604,District - Kancheepuram,Total,`5-14,225,117,108,14,10,4,2,1,1,65,36,29,10,6,4,2,2,0,4,2,2,12,8,4,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,8,4,4,2,0,2,124,60,64
B0906ST,`33,`604,District - Kancheepuram,Total,15-34,2303,1222,1081,477,229,248,48,21,27,1320,622,698,364,242,122,22,10,12,96,56,40,232,154,78,6,6,0,240,128,112,0,0,0,80,52,28,36,34,2,10,8,2,0,0,0,4,2,2,4,2,2,34,26,8,8,6,2,22,4,18,254,78,176
B0906ST,`33,`604,District - Kancheepuram,Total,35-59,2032,1021,1011,413,223,190,45,23,22,1262,603,659,346,238,108,36,22,14,82,44,38,146,82,64,6,4,2,230,136,94,0,0,0,62,34,28,12,12,0,16,6,10,0,0,0,0,0,0,4,2,2,26,18,8,4,0,4,36,4,32,132,16,116
B0906ST,`33,`604,District - Kancheepuram,Total,60+,369,197,172,94,45,49,14,6,8,251,136,115,44,24,20,2,2,0,26,16,10,18,12,6,0,0,0,42,26,16,0,0,0,24,6,18,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,6,6,0,2,0,2,2,0,2,30,8,22
B0906ST,`33,`604,District - Kancheepuram,Total,Age not stated,6,2,4,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`604,District - Kancheepuram,Rural,Total,4063,2041,2022,764,374,390,96,43,53,2719,1286,1433,610,402,208,60,36,24,172,98,74,312,186,126,6,4,2,316,152,164,0,0,0,98,50,48,18,18,0,10,2,8,0,0,0,0,0,0,6,4,2,30,24,6,18,6,12,36,6,30,320,98,222
B0906ST,`33,`604,District - Kancheepuram,Rural,`5-14,169,95,74,13,9,4,1,0,1,63,34,29,10,6,4,2,2,0,4,2,2,10,8,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,4,4,2,0,2,78,44,34
B0906ST,`33,`604,District - Kancheepuram,Rural,15-34,1870,945,925,354,162,192,38,15,23,1252,578,674,270,170,100,22,10,12,82,46,36,164,108,56,2,2,0,154,72,82,0,0,0,50,32,18,12,12,0,2,0,2,0,0,0,0,0,0,4,2,2,22,16,6,4,2,2,8,2,6,138,40,98
B0906ST,`33,`604,District - Kancheepuram,Rural,35-59,1708,839,869,324,169,155,43,22,21,1169,548,621,288,202,86,34,22,12,70,38,32,122,62,60,4,2,2,138,68,70,0,0,0,32,14,18,6,6,0,6,2,4,0,0,0,0,0,0,0,0,0,8,8,0,4,0,4,24,4,20,84,10,74
B0906ST,`33,`604,District - Kancheepuram,Rural,60+,310,160,150,73,34,39,14,6,8,231,124,107,42,24,18,2,2,0,16,12,4,14,8,6,0,0,0,24,12,12,0,0,0,14,2,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,20,4,16
B0906ST,`33,`604,District - Kancheepuram,Rural,Age not stated,6,2,4,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`604,District - Kancheepuram,Urban,Total,872,518,354,234,133,101,13,8,5,183,113,70,154,108,46,2,0,2,36,20,16,98,70,28,6,6,0,196,138,58,0,0,0,74,48,26,30,28,2,20,12,8,0,0,0,4,2,2,4,2,2,36,26,10,4,4,0,26,2,24,220,64,156
B0906ST,`33,`604,District - Kancheepuram,Urban,`5-14,56,22,34,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,16,30
B0906ST,`33,`604,District - Kancheepuram,Urban,15-34,433,277,156,123,67,56,10,6,4,68,44,24,94,72,22,0,0,0,14,10,4,68,46,22,4,4,0,86,56,30,0,0,0,30,20,10,24,22,2,8,8,0,0,0,0,4,2,2,0,0,0,12,10,2,4,4,0,14,2,12,116,38,78
B0906ST,`33,`604,District - Kancheepuram,Urban,35-59,324,182,142,89,54,35,2,1,1,93,55,38,58,36,22,2,0,2,12,6,6,24,20,4,2,2,0,92,68,24,0,0,0,30,20,10,6,6,0,10,4,6,0,0,0,0,0,0,4,2,2,18,10,8,0,0,0,12,0,12,48,6,42
B0906ST,`33,`604,District - Kancheepuram,Urban,60+,59,37,22,21,11,10,0,0,0,20,12,8,2,0,2,0,0,0,10,4,6,4,4,0,0,0,0,18,14,4,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,10,4,6
B0906ST,`33,`604,District - Kancheepuram,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`605,District - Vellore,Total,Total,8709,4309,4400,2346,1110,1236,1021,642,379,6810,3057,3753,434,286,148,16,8,8,366,128,238,536,306,230,10,6,4,902,542,360,0,0,0,100,66,34,34,30,4,20,18,2,0,0,0,4,2,2,12,8,4,26,16,10,16,8,8,216,50,166,532,246,286
B0906ST,`33,`605,District - Vellore,Total,`5-14,505,265,240,69,28,41,17,12,5,381,189,192,4,2,2,0,0,0,8,4,4,8,4,4,0,0,0,6,4,2,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,138,70,68
B0906ST,`33,`605,District - Vellore,Total,15-34,4270,2056,2214,1146,543,603,435,261,174,3333,1476,1857,180,114,66,6,2,4,192,62,130,268,140,128,0,0,0,504,314,190,0,0,0,52,36,16,16,16,0,10,10,0,0,0,0,0,0,0,8,8,0,10,8,2,14,8,6,122,26,96,266,118,148
B0906ST,`33,`605,District - Vellore,Total,35-59,3385,1676,1709,926,433,493,481,304,177,2640,1161,1479,218,146,72,10,6,4,142,52,90,226,134,92,6,2,4,348,200,148,0,0,0,38,22,16,16,14,2,8,6,2,0,0,0,4,2,2,4,0,4,10,6,4,2,0,2,66,14,52,92,40,52
B0906ST,`33,`605,District - Vellore,Total,60+,546,310,236,203,106,97,87,65,22,456,231,225,32,24,8,0,0,0,24,10,14,32,28,4,4,4,0,42,22,20,0,0,0,8,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,20,6,14,36,18,18
B0906ST,`33,`605,District - Vellore,Total,Age not stated,3,2,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`605,District - Vellore,Rural,Total,8102,3972,4130,2210,1032,1178,1012,636,376,6644,2976,3668,370,246,124,6,2,4,332,122,210,426,238,188,4,2,2,750,450,300,0,0,0,58,50,8,20,18,2,10,10,0,0,0,0,0,0,0,6,6,0,22,12,10,12,6,6,210,46,164,430,184,246
B0906ST,`33,`605,District - Vellore,Rural,`5-14,494,259,235,67,26,41,17,12,5,380,189,191,4,2,2,0,0,0,8,4,4,8,4,4,0,0,0,4,2,2,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,128,64,64
B0906ST,`33,`605,District - Vellore,Rural,15-34,3993,1903,2090,1082,507,575,430,257,173,3261,1441,1820,160,102,58,4,2,2,172,60,112,210,102,108,0,0,0,438,280,158,0,0,0,28,24,4,10,10,0,6,6,0,0,0,0,0,0,0,6,6,0,6,4,2,12,6,6,118,24,94,214,86,128
