Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0906ST,`33,`631,District - Krishnagiri,Urban,60+,6,5,1,2,2,0,0,0,0,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
B0906ST,`33,`631,District - Krishnagiri,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`632,District - Coimbatore,Total,Total,1684,748,936,551,237,314,76,30,46,1253,521,732,254,110,144,0,0,0,34,10,24,162,94,68,0,0,0,122,52,70,0,0,0,48,20,28,24,24,0,2,2,0,0,0,0,2,2,0,2,2,0,4,0,4,2,0,2,10,6,4,240,112,128
B0906ST,`33,`632,District - Coimbatore,Total,`5-14,108,56,52,11,5,6,9,3,6,18,10,8,4,0,4,0,0,0,2,0,2,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,74,40,34
B0906ST,`33,`632,District - Coimbatore,Total,15-34,763,339,424,245,111,134,37,15,22,531,209,322,100,44,56,0,0,0,8,2,6,98,54,44,0,0,0,52,30,22,0,0,0,26,12,14,20,20,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,6,4,2,124,58,66
B0906ST,`33,`632,District - Coimbatore,Total,35-59,658,265,393,248,98,150,25,9,16,555,218,337,134,58,76,0,0,0,24,8,16,52,32,20,0,0,0,62,20,42,0,0,0,20,6,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,28,8,20
B0906ST,`33,`632,District - Coimbatore,Total,60+,153,87,66,47,23,24,5,3,2,147,83,64,16,8,8,0,0,0,0,0,0,8,6,2,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14,6,8
B0906ST,`33,`632,District - Coimbatore,Total,Age not stated,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`632,District - Coimbatore,Rural,Total,1238,542,696,477,207,270,52,23,29,997,410,587,162,70,92,0,0,0,30,8,22,146,86,60,0,0,0,96,36,60,0,0,0,42,18,24,20,20,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,4,2,0,2,10,6,4,152,70,82
B0906ST,`33,`632,District - Coimbatore,Rural,`5-14,54,25,29,9,4,5,8,3,5,13,6,7,4,0,4,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,28,16,12
B0906ST,`33,`632,District - Coimbatore,Rural,15-34,568,247,321,210,96,114,25,11,14,423,168,255,60,24,36,0,0,0,8,2,6,86,48,38,0,0,0,36,20,16,0,0,0,22,10,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,6,4,2,92,40,52
B0906ST,`33,`632,District - Coimbatore,Rural,35-59,490,198,292,219,91,128,17,7,10,440,170,270,88,42,46,0,0,0,20,6,14,50,32,18,0,0,0,52,14,38,0,0,0,18,6,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,18,8,10
B0906ST,`33,`632,District - Coimbatore,Rural,60+,126,72,54,39,16,23,2,2,0,121,66,55,10,4,6,0,0,0,0,0,0,8,6,2,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14,6,8
B0906ST,`33,`632,District - Coimbatore,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0906ST,`33,`632,District - Coimbatore,Urban,Total,446,206,240,74,30,44,24,7,17,256,111,145,92,40,52,0,0,0,4,2,2,16,8,8,0,0,0,26,16,10,0,0,0,6,2,4,4,4,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,88,42,46
